Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
18.2395_191101_57_5_h.CDF,1.034,MT,MT,C10H16,H,5_h,2019,October,mt,0,5.5,5,five
17.2394_191101_56_4_hxn.CDF,1.034,MT,MT,C10H16,HxN,4_hxn,2019,October,mt,0,5.82,4,five
47.2554_191108_60_8_h.CDF,0.352,OVOC,furan,C5H10O,H,8_h,2019,October,furan,0,6.09,8,five
20.2397_191101_59_7_hxn.CDF,1.835,ST,ST,C15H22,HxN,7_hxn,2019,October,st,0,6.48,7,five
25.2406_191101_64_19_c.CDF,1.034,MT,MT,C10H16,C,19_c,2019,October,mt,0,6.49,19,five
19.2396_191101_58_6_n.CDF,0.831,HC,alkane,C10H22,N,6_n,2019,October,"3,4,5-trimethyl-heptane",0,6.55,6,five
18.2395_191101_57_5_h.CDF,0.321,OVOC,ester,C4H8O2,H,5_h,2019,October,ethyl acetate,0,6.55,5,five
15.2392_191101_54_2_h.CDF,1.362,OVOC,oBz,C10H14O,H,2_h,2019,October,"a,a,4-trimethyl-benzenemethanol",0,6.58,2,five
47.2554_191108_60_8_h.CDF,1.034,MT,MT,C10H16,H,8_h,2019,October,mt,0,6.58,8,five
20.2397_191101_59_7_hxn.CDF,0.918,HC,alkane,C10H20,HxN,7_hxn,2019,October,alkane,0,6.59,7,five
24.2404_191101_62_11_n.CDF,0.708,HC,alkene,C9H18,N,11_n,2019,October,"1,2,4-trimethyl-cyclohexane",0,6.64,11,five
15.2392_191101_54_2_h.CDF,1.861,ST,ST,C15H24,H,2_h,2019,October,trans-a-bisabolene,0,6.66,2,five
47.2554_191108_60_8_h.CDF,1.818,ST,ST,C15H24,H,8_h,2019,October,st,0,6.7,8,five
24.2404_191101_62_11_n.CDF,1.362,OVOC,oBz,C10H14O,N,11_n,2019,October,"a,a,4-trimethyl-benzenemethanol",0,6.75,11,five
19.2396_191101_58_6_n.CDF,1.162,HC,Bz,C10H12,N,6_n,2019,October,bz,0,6.76,6,five
14.2391_191101_53_1_c.CDF,0.352,OVOC,furan,C5H10O,C,1_c,2019,October,furan,0,6.79,1,five
17.2394_191101_56_4_hxn.CDF,0.366,OVOC,ketone,C5H10O,HxN,4_hxn,2019,October,3-methyl-2-butanone,0,6.8,4,five
45.2502_191104_63_12_c.CDF,0.879,HC,alkane,C10H22,C,12_c,2019,October,3-ethyl-2-methyl-heptane,0,6.83,12,five
19.2396_191101_58_6_n.CDF,0.338,OVOC,ester,C4H8O2,N,6_n,2019,October,methyl propionate,0,6.9,6,five
14.2391_191101_53_1_c.CDF,1.034,MT,MT,C10H16,C,1_c,2019,October,mt,0,6.93,1,five
